WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
14848,SOUTH BEND,IN,SOUTH BEND REGIONAL AIRPORT,41.7072,-86.3163,235.61,26413.84,-5
14850,TRAVERSE CITY,MI,CHERRY CAPITAL AIRPORT,44.740829999999995,-85.5825,192.02,21300.39,-5
14852,YOUNGSTOWN/WARREN,OH,YOUNGSTOWN-WARREN REGIONAL AIRPORT,41.25444,-80.67389,361.49,40399.63,-5
14853,DETROIT,MI,WILLOW RUN AIRPORT,42.23333,-83.53333,218.24,24009.51,-5
14855,GLENVIEW,IL,NAVAL AIR STATION,42.08333,-87.83333,199.03,21909.94,-6
14858,HANCOCK,MI,HOUGHTON COUNTY MEMO ARPT,47.16861,-88.48889,328.88,36335.96,-5
14860,ERIE,PA,ERIE INTL/T. RIDGE FIELD AIRPORT,42.08,-80.1825,224.64,25601.11,-5
14864,BIG RAPIDS,MI,ROBEN-HOOD ARPT,43.71667,-85.5,301.75,,-5
14880,CHICAGO/WAUKEGAN,IL,WAUKEGAN REGIONAL AIRPORT,42.41667,-87.86667,221.59,24889.97,-6
14886,Land O' Lakes,WI,Kings Land O' Lakes Airport,46.15,-89.21667,327.36,,-6
14891,MANSFIELD,OH,MANSFIELD LAHM REGIONAL AIRPORT,40.82028,-82.51778,399.9,44023.07,-5
14894,WHEELING,WV,WHEELING OHIO COUNTY ARPT,40.176390000000005,-80.64721999999999,364.24,41483.28,-5
14895,AKRON,OH,AKRON-CANTON REGIONAL AIRPORT,40.91667,-81.43333,376.73,43142.61,-5
14897,WAUSAU,WI,WAUSAU DOWNTOWN AIRPORT,44.9288,-89.6277,364.54,40704.41,-6
14898,GREEN BAY,WI,AUSTIN STRAUBEL INTERNATIONAL AP,44.4794,-88.1366,213.97,23196.77,-6
14905,KEARNEY,NE,KEARNEY MUNICIPAL AIRPORT,40.73333,-99.0,648.92,,-6
14910,ALEXANDRIA,MN,CHANDLER FIELD AIRPORT,45.8679,-95.3941,436.17,48222.19,-6
14913,DULUTH,MN,DULUTH INTERNATIONAL AIRPORT,46.8369,-92.1833,431.9,48391.51,-6
14914,FARGO,ND,HECTOR INTERNATIONAL AIRPORT,46.92528,-96.81111,274.02,30850.01,-6
14916,GRAND FORKS,ND,GRAND FORKS INTERNATIONAL AIRPORT,47.9428,-97.1839,253.59,28513.4,-6
14918,INTERNATIONAL FALLS,MN,FALLS INTERNATIONAL AIRPORT,48.5614,-93.3981,360.58,40128.72,-6
14919,JAMESTOWN,ND,JAMESTOWN REGIONAL AIRPORT,46.9258,-98.6691,455.37,50660.39,-6
14920,LA CROSSE,WI,LA CROSSE MUNICIPAL AIRPORT,43.8788,-91.2527,199.95,22282.45,-6
14921,LONE ROCK,WI,TRI-COUNTY REGIONAL ARPT,43.211940000000006,-90.18139000000001,219.76,24246.55,-6
14922,MINNEAPOLIS,MN,MINNEAPOLIS-ST PAUL INTERNATIONAL AP,44.8831,-93.2289,255.42,29597.05,-6
14923,MOLINE,IL,QUAD CITY INTERNATIONAL AIRPORT,41.46528,-90.52333,181.05,20555.39,-6
14925,ROCHESTER,MN,ROCHESTER INTERNATIONAL AIRPORT,43.9041,-92.4916,402.34,44903.53,-6
14926,ST CLOUD,MN,ST CLOUD REGIONAL AIRPORT,45.5433,-94.0513,312.12,34676.63,-6
14927,ST PAUL,MN,ST PAUL DWTWN HOLMAN FD AP,44.931940000000004,-93.05556,216.71,24077.23,-6
14928,WILLMAR,MN,WLMR MUNI-J L RICE FD ARPT,45.11667,-95.08333,344.12,,-6
14929,ABERDEEN,SD,ABERDEEN REGIONAL AIRPORT,45.4433,-98.413,396.24,44226.25,-6
14930,ATLANTIC,IA,ATLANTIC MUNICIPAL AIRPORT,41.40722,-95.04666999999999,360.27,,-6
14931,BURLINGTON,IA,SE IOWA REGIONAL AIRPORT,40.78333,-91.12528,213.97,23569.27,-6
14933,DES MOINES,IA,DES MOINES INTERNATIONAL AIRPORT,41.5338,-93.65299999999999,293.52,32881.85,-6
14935,GRAND ISLAND,NE,CENTRAL NEBRASKA REGIONAL AIRPORT,40.9611,-98.3136,565.71,62445.03,-6
14936,HURON,SD,HURON REGIONAL AIRPORT,44.3981,-98.2231,392.89,43481.25,-6
14937,IOWA CITY,IA,IOWA CITY MUNICIPAL ARPT,41.63278,-91.54306,203.61,22113.13,-6
14938,KIRKSVILLE,MO,KIRKSVILLE REGIONAL ARPT,40.09722,-92.54333000000001,294.13,32644.8,-6
14939,LINCOLN,NE,LINCOLN MUNICIPAL AIRPORT,40.8508,-96.7475,362.41,40772.14,-6
14940,MASON CITY,IA,MASON CITY MUNICIPAL ARPT,43.1544,-93.3269,373.38,41483.28,-6
14941,NORFOLK,NE,KARL STEFAN MEMORIAL AIRPORT,41.9855,-97.4352,472.74,52048.81,-6
14942,OMAHA,NE,EPPLEY AIRFIELD AIRPORT,41.3102,-95.8991,299.31,34812.09,-6
14943,SIOUX CITY,IA,SIOUX GATEWAY/COL BUD DAY FIELD AP,42.3913,-96.3791,336.19,38570.98,-6
14944,SIOUX FALLS,SD,JOE FOSS FIELD AIRPORT,43.5778,-96.7539,434.95,48357.65,-6
14946,WATERTOWN,SD,WATERTOWN MUNICIPAL ARPT,44.9047,-97.1494,530.35,59194.1,-6
14949,OMAHA,NE,OFFUTT AFB AIRPORT,41.11667,-95.91667,319.43,0.0,-6
14950,OTTUMWA,IA,OTTUMWA INDUSTRIAL AIRPORT,41.1077,-92.4466,257.56,28648.86,-6
